Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
7D9TGZGQ,journalArticle,2021,"Al Hammadi, AY; Yeun, CY; Damiani, E; Yoo, PD; Hu, JK; Yeun, HK; Yim, MS",Explainable artificial intelligence to evaluate industrial internal security using EEG signals in IoT framework,AD HOC NETWORKS,,1570-8705,10.1016/j.adhoc.2021.102641,,,1/12/2021,22/12/2025 13:43,27/12/2025 5:33,,,,,123,,,,,,,,,,,,,,WOS:000702683300003,,,,,C:\Users\rao\Zotero\storage\BGQRE84H\Al Hammadi et al. - 2021 - Explainable artificial intelligence to evaluate industrial internal security using EEG signals in Io.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G9HBL6R2,journalArticle,2021,"Al-Shehari, T.; Alsowail, R.A.","An insider data leakage detection using one‐hot encoding, synthetic minority oversampling and machine learning techniques",Entropy,,N/A,10.3390/e23101258,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116039986&doi=10.3390%2Fe23101258&partnerID=40&md5=7a92c5a9fe01922116b313b36174a004,"Insider threats are malicious acts that can be carried out by an authorized employee within an organization. Insider threats represent a major cybersecurity challenge for private and public organizations, as an insider attack can cause extensive damage to organization assets much more than external attacks. Most existing approaches in the field of insider threat focused on detecting general insider attack scenarios. However, insider attacks can be carried out in different ways, and the most dangerous one is a data leakage attack that can be executed by a malicious insider before his/her leaving an organization. This paper proposes a machine learning‐based model for detecting such serious insider threat incidents. The proposed model addresses the possible bias of detection results that can occur due to an inappropriate encoding process by employing the feature scaling and one‐hot encoding techniques. Furthermore, the imbalance issue of the utilized dataset is also addressed utilizing the synthetic minority oversampling technique (SMOTE). Well known machine learning algorithms are employed to detect the most accurate classifier that can detect data leakage events executed by malicious insiders during the sensitive period before they leave an organization. We provide a proof of concept for our model by applying it on CMU‐CERT Insider Threat Dataset and comparing its performance with the ground truth. The experimental results show that our model detects insider data leakage events with an AUC‐ROC value of 0.99, outperforming the existing approaches that are validated on the same dataset. The proposed model provides effective methods to address possible bias and class imbalance issues for the aim of devising an effective insider data leakage detection system. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",2021,23/12/2025 2:34,27/12/2025 5:33,,,,10,23,,,,,,,,,,,,,Scopus,,,,,<p>Export Date: 23 December 2025; Cited By: 135</p>,"C:\Users\rao\Zotero\storage\9UF83HAA\Al-Shehari and Alsowail - 2021 - An insider data leakage detection using one‐hot encoding, synthetic minority oversampling and machin.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6F2HP3G8,journalArticle,2021,"Wei, Y.; Chow, K.-P.; Yiu, S.-M.",Insider threat prediction based on unsupervised anomaly detection scheme for proactive forensic investigation,Forensic Science International: Digital Investigation,,N/A,10.1016/j.fsidi.2021.301126,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119601253&doi=10.1016%2Fj.fsidi.2021.301126&partnerID=40&md5=6bb60f70f029009605f2686b4e2773df,"The complexity, concealment and infrequency of malicious internal actions make it difficult to detect insider threats. In the process of traditional reactive forensic investigation, analysis and interpretation of the digital evidence are performed after a crime has been committed. Even if insiders can be detected, they have already caused huge damage. In this paper, we propose a novel general unsupervised anomaly detection scheme based on cascaded autoencoders (CAEs) and joint optimization network. Our core idea is to utilize CAEs to do data purification among unlabeled digital evidence, then jointly optimize the dimension reduction and density estimation network to avoid sub-optimal problems. Based on this scheme, we design an end-to-end insider threat prediction framework for proactive forensic investigation, through which we can make real time response to prevent the harmful influences of insider threats in advance. We extract the tractable and scalable feature representation automatically through the data driven Bidirectional Long Short-Term Memory (BiLSTM) feature extractor, waiving the time-consuming and customarily expert dependable feature engineering work. Additionally, a hypergraph correction module is applied to solve the commonly existed relatively high false positive rate problem in insider threat detection. We evaluate our scheme and framework on public benchmark datasets. The empirical experiments demonstrate that our models outperform state-of-the-art unsupervised methods. © 2021 The Authors",2021,23/12/2025 2:34,27/12/2025 5:33,,,,,38,,,,,,,,,,,,,Scopus,,,,,<p>Export Date: 23 December 2025; Cited By: 23</p>,C:\Users\rao\Zotero\storage\9AAIFUKV\Wei et al. - 2021 - Insider threat prediction based on unsupervised anomaly detection scheme for proactive forensic inve.pdf; C:\Users\rao\Zotero\storage\8Y3M93AJ\Wei et al. - 2021 - Insider threat prediction based on unsupervised anomaly detection scheme for proactive forensic inve.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8HRZULSX,journalArticle,2021,"Rauf, Usman; Shehab, Mohamed; Qamar, Nafees; Sameen, Sheema",Formal approach to thwart against insider attacks: A bio-inspired auto-resilient policy regulation framework,Future Generation Computer Systems,,0167-739X,10.1016/j.future.2020.11.009,https://www.sciencedirect.com/science/article/pii/S0167739X20330338,"The ever-growing number of cyber crimes and incidents (i.e., data breaches, privilege escalation, and masquerade attacks) indicates that traditional cyber defense mechanisms designed to manage access control and understand human behavioral intent are unable to protect large organizations against organized malicious attacks. The existing state-of-the-art solutions, extensively rely on human decision making and correlation-based analysis, to understand the anomalous intent of an insider. This consequently leads to data breaches, hence making insider threats one of the biggest challenges faced by the cybersecurity community today. To deal with these issues, new access control architectures and models must focus on the integration of threat analytics, auto-resiliency, and fast response time to mitigate an ongoing threat in a timely manner. In this article, to address these issues and limitations, we propose an integrated access control policy regulation framework, designed on biological principles. The proposed framework provides the ground to efficiently integrate Threat Analytics with Policy Regulation Mechanism against insider threats. Another major contribution of this article is to model access control policy regulation mechanism as an auto-regulatory state transition system, which could autonomously change its state (policy configuration) in real-time against an emergent insider threat. As the last step, with the help of formal methods, we rigorously verify, evaluate, and test the performance of our proposed systems on a real-life threat test dataset.",1/4/2021,23/12/2025 4:17,27/12/2025 5:50,,412-425,,,117,,Future Generation Computer Systems,,,,,,,,,,,,,,,,,C:\Users\rao\Zotero\storage\N5KIJI8N\Rauf et al. - 2021 - Formal approach to thwart against insider attacks A bio-inspired auto-resilient policy regulation f.pdf,,Access control; Behavioral analysis; Bio-inspired design; Cyber threat intelligence; Formal verification; Insider threats; Policy regulation; Threat analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J32KQUUT,journalArticle,2021,"Janjua, F; Masood, A; Abbas, H; Rashid, I; Khan, MMZM",Textual analysis of traitor-based dataset through semi supervised machine learning,FUTURE GENERATION COMPUTER SYSTEMS-THE INTERNATIONAL JOURNAL OF ESCIENCE,,0167-739X,10.1016/j.future.2021.06.036,,,2021-12,22/12/2025 13:43,27/12/2025 5:33,,652-660,,,125,,,,,,,,,,,,,,WOS:000687964600014,,,,,C:\Users\rao\Zotero\storage\HBKYR6JR\Janjua et al. - 2021 - Textual analysis of traitor-based dataset through semi supervised machine learning.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K2RAQEVF,journalArticle,2021,"Nasir, R; Afzal, M; Latif, R; Iqbal, W",Behavioral Based Insider Threat Detection Using Deep Learning,IEEE ACCESS,,2169-3536,10.1109/ACCESS.2021.3118297,,,2021,22/12/2025 13:43,27/12/2025 5:33,,143266-143274,,,9,,,,,,,,,,,,,,WOS:000711712700001,,,,,C:\Users\rao\Zotero\storage\4LDAP6XC\Nasir et al. - 2021 - Behavioral Based Insider Threat Detection Using Deep Learning.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KZHAZR42,journalArticle,2021,Mehnaz; E. Bertino,A Fine-Grained Approach for Anomaly Detection in File System Accesses With Enhanced Temporal User Profiles,IEEE Transactions on Dependable and Secure Computing,,1941-0018,10.1109/TDSC.2019.2954507,,,1/12/2021,27/12/2025 1:43,12/1/2026 6:53,,2535-2550,,6,18,,IEEE Transactions on Dependable and Secure Computing,,,,,,,,,,,,,,,,,C:\Users\rao\Zotero\storage\VH5LXTB5\S. Mehnaz and E. Bertino - 2021 - A Fine-Grained Approach for Anomaly Detection in File System Accesses With Enhanced Temporal User Pr.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG2YM27S,journalArticle,2021,"Le, D.C.",Anomaly Detection for Insider Threats Using Unsupervised Ensembles,IEEE Transactions on Network and Service Management,,1932-4537,10.1109/TNSM.2021.3071928,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104195907&doi=10.1109%2FTNSM.2021.3071928&partnerID=40&md5=1bd72dacd76c4b49e949d65bcbfd389e,"Insider threat represents a major cybersecurity challenge to companies, organizations, and government agencies. Insider threat detection involves many challenges, including unbalanced data, limited ground truth, and possible user behavior changes. This research presents an unsupervised learning based anomaly detection approach for insider threat detection. We employ four unsupervised learning methods with different working principles, and explore various representations of data with temporal information. Furthermore, different computational intelligence schemes are explored to combine these models to create anomaly detection ensembles for improving the detection performance. Evaluation results show that the approach allows learning from unlabelled data under challenging conditions for insider threat detection. Insider threats are detected with high detection and low false positive rates. For example, 60% of malicious insiders are detected under 0.1% investigation budget, and all malicious insiders are detected at less than 5% investigation budget. Furthermore, we explore the ability of the proposed approach to generalize for detecting new anomalous behaviors in different datasets, i.e., robustness. Finally, results demonstrate that a voting-based ensemble of anomaly detection can be used to improve detection performance as well as the robustness. Comparisons with the state-of-the-art confirm the effectiveness of the proposed approach. © 2004-2012 IEEE.",2021,23/12/2025 2:34,27/12/2025 5:33,,1152-1164,,2,18,,,,,,,,,,,,,Scopus,,,,,<p>Export Date: 23 December 2025; Cited By: 96</p>,C:\Users\rao\Zotero\storage\838K62V5\Le - 2021 - Anomaly Detection for Insider Threats Using Unsupervised Ensembles.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y6KWCR65,journalArticle,2021,"Al-Mhiqani, MN; Isnin, SN; Ahmed, R; Abidi, ZZ",An Integrated Imbalanced Learning and Deep Neural Network Model for Insider Threat Detection,INTERNATIONAL JOURNAL OF ADVANCED COMPUTER SCIENCE AND APPLICATIONS,,2158-107X,,,,2021-01,22/12/2025 13:43,27/12/2025 5:33,,573-577,,1,12,,,,,,,,,,,,,,WOS:000621697400065,,,,,C:\Users\rao\Zotero\storage\KFXD49X7\Al-Mhiqani et al. - 2021 - An Integrated Imbalanced Learning and Deep Neural Network Model for Insider Threat Detection.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBIV8LUE,journalArticle,2021,"Wall, A.; Agrafiotis, I.",A bayesian approach to insider threat detection,"Journal of Wireless Mobile Networks, Ubiquitous Computing, and Dependable Applications",,,10.22667/JOWUA.2021.06.30.048,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117952855&doi=10.22667%2FJOWUA.2021.06.30.048&partnerID=40&md5=967c9d54f6e4d9e7f46b3f103d9a394a,"Insider attacks are an ever-increasing threat for organizations, with dire consequences. Rogue employees who possess legitimate access to systems, and knowledge of security policies and monitoring practices of organizations, can evade detection. Organizations remain ill-equipped in detecting, deterring and mitigating sophisticated insider attacks, as traditional security controls and detection systems are tailored to external threats. Literature on insider threat detection provides the theoretical foundation to understand the motives, behavior and patterns of insider attacks. The majority of proposed models for insider threat anomaly detection, mainly focus on processing network data. In this paper, we propose and evaluate a Bayesian Network architecture that can consider behavioral aspects in tandem with network data. Our system utilizes machine learning to understand the structure of the data, inputs specially crafted features based on theoretical foundations of insider threat and enables analysts to consider behavioral features, if such data is available. We applied our system on CMU’s synthetic dataset and our results provide justified and informed decisions on selecting parameters for Bayesian Networks and suggest that such an approach is highly effective. All attacks in the dataset were identified, with a very low number of false positives. © 2021, Innovative Information Science and Technology Research Group. All rights reserved.",2021,23/12/2025 2:34,27/12/2025 5:33,,48-84,,2,12,,,,,,,,,,,,,Scopus,,,,,<p>Export Date: 23 December 2025; Cited By: 9</p>,C:\Users\rao\Zotero\storage\4AT4H382\Wall and Agrafiotis - 2021 - A bayesian approach to insider threat detection.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
